SMILES,pKi IC50 Pi3K,pKi IC50 mTor,Water Solubility,Caco2 permeability,CYP1A2 inhibitor,CYP3A4 inhibitor,Total Clearance
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCO4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.928117993,8.397940009,-4.153,0.831,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1C,6.431798276,8.301029996,-4.017,0.649,0,1,0.408
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)c3ccccn3)c(F)c2)c1C#Cc1ccc(N)nc1,6.906578315,8.15490196,-4.047,0.828,0,1,0.503
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)c3ccncc3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.68006156,8.007667441,-3.933,0.921,0,1,0.21
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)c3ccncc3)c(C)c2)c1C#Cc1ccc(N)nc1,7.341511619,8.019996628,-3.883,1.034,0,1,0.765
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CC4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.133830852,7.957424488,-4.498,,0,1,0.742
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)c3ccncc3)c(F)c2)c1C#Cc1ccc(N)nc1,6.575118363,8.15490196,-3.919,1.007,0,1,0.537
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)S(=O)(=O)CC)c(C)c2)c1C#Cc1ccc(N)nc1,7.201418405,8.605548319,-4.382,,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)S(=O)(=O)CC)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.403732874,9.443697499,-4.448,,0,1,0.425
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)S(=O)(=O)CC)c(F)c2)c1C#Cc1ccc(N)nc1,7.283996656,8.301029996,,0.484,0,1,0.722
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)S(=O)(=O)CC)c(OC)c2)c1C#Cc1ccc(N)nc1,7.443697499,8.698970004,-4.353,0.4,0,1,0.982
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)S(=O)(=O)CC)c(F)c2)c1C#Cc1ccc(N)nc1C,7.036212173,8.045757491,-4.467,0.548,0,1,0.69
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)c3ccccc3)c(C)c2)c1C#Cc1ccc(N)nc1,6.795337488,8.501689446,-4.814,1.349,0,,0.736
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)c3ccccc3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.050609993,8.301029996,,1.339,0,1,0.234
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)c3ccccc3)c(F)c2)c1C#Cc1ccc(N)nc1,6.701146924,8,-4.665,1.4,0,1,0.507
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)c3ccccc3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.302770657,7.585026652,-4.71,1.411,0,1,0.475
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)c3ccccn3)c(C)c2)c1C#Cc1ccc(N)nc1,,7.767257937,-4.013,0.855,0,1,0.731
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)c3ccccn3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.928117993,8.522878745,-4.07,0.742,0,,0.214
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3COC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.946537395,8.560667306,-3.965,0.733,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3COC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.923359556,8.372634143,-3.858,0.647,0,1,0.729
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3COC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.81417464,7.770574152,-4.035,0.796,0,1,0.701
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)OC)c(F)c2)c1C#Cc1ccc(N)nc1,7.086186148,8.045757491,-4.197,,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.896196279,8.522878745,-4.106,0.855,0,1,0.453
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.66756154,8.522878745,-4.17,0.919,0,1,0.47
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCS(=O)(=O)C3)c(C)c2)c1C#Cc1ccc(N)nc1,6.795337488,8.850780887,-3.83,0.612,0,1,0.123
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCS(=O)(=O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.91721463,,-3.909,0.499,0,1,0.091
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCOCC3)c(F)c2)c1C#Cc1ccc(NC)nc1,6.446845452,8.26520017,-4.319,,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCS(=O)(=O)C3)c(OC)c2)c1C#Cc1ccc(N)nc1,,8.140261434,-3.922,0.501,0,,0.107
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCOCC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.91721463,9,-4.029,,0,1,0.515
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCS(=O)(=O)C3)c(F)c2)c1C#Cc1ccc(N)nc1,7.022276395,8.397940009,-4,0.585,0,1,0.045
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCS(=O)(=O)C3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.749579998,8.15490196,-4.057,0.649,0,1,0.062
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.540306024,9.327902142,-4.073,1.38,0,1,0.665
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,,8.397940009,-4.132,1.349,0,1,0.571
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCCC3)c(C)c2)c1C#Cc1ccc(N)nc1,6.813608784,8.73754891,-4.028,1.359,0,1,0.604
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCCC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.821023053,8.22184875,-4.159,,0,1,0.525
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCCC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.38563016,8.166215625,,0.888,0,1,0.587
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.70333481,8.698970004,-3.877,0.917,0,,
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCCC3O)c(F)c2)c1C#Cc1ccc(N)nc1,6.862645889,9.167491087,-4.015,0.699,0,1,0.475
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCOCC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.073709013,8.804100348,-3.954,0.882,0,,
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCCC3O)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.243211801,8.88941029,-3.932,0.614,0,1,0.521
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCOCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.013228266,9.055517328,-4.05,0.77,0,1,0.499
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCOCC3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,6.791827473,8.714442691,-4.293,,0,1,0.475
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)C)c(OC)c2)c1C#Cc1ccc(N)nc1,6.675717545,8.698970004,-4.788,0.923,0,1,0.547
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)C)c(c2)C(F)(F)F)c1C#Cc1ccc(N)nc1,6.554551486,8.565431096,-4.918,1.403,0,1,0.313
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)CO)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.11850122,8.774690718,-4.023,0.439,0,1,0.51
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)CO)c(F)c2)c1C#Cc1ccc(N)nc1,6.673664139,8.899629455,-4.104,0.525,0,1,0.465
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)COC)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.914317057,9.036212173,-4.321,0.595,0,1,0.54
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(F)(F)F)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.301899454,7.744727495,-4.178,,0,1,0.07
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)COC)c(F)c2)c1C#Cc1ccc(N)nc1,6.657972312,,-4.348,0.68,0,1,0.495
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(NC#N)=NC)c(F)c2)c1C#Cc1ccc(N)nc1,,8.096910013,-3.278,0.482,0,0,-0.137
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.187086643,9.004364805,-3.908,1.332,0,1,0.727
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.896196279,8.522878745,,1.371,,1,0.682
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,7.22184875,8.698970004,-3.906,0.766,0,1,0.743
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.505845406,8.397940009,-4.06,1.383,0,1,0.698
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C3CCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.316592701,9.244125144,-4.023,1.34,0,1,0.71
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,6.70333481,8.22184875,-4.815,1.393,0,1,0.487
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)C)c(OC(F)(F)F)c2)c1C#Cc1ccc(N)nc1,6.275642196,7.674279142,,0.759,0,1,0.062
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.752026734,8.698970004,-4.237,1.387,0,1,0.39
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.065501549,9,-4.261,1.399,0,1,0.345
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,7.200659451,8.698970004,-4.183,,0,1,0.404
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,6.449038248,8.328827157,-4.508,1.382,0,1,0.365
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.787812396,8.522878745,-4.336,1.411,0,,0.361
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)(C)C)c(OC)c2)c1C#Cc1ccc(N)nc1,6.600326279,8.522878745,-4.942,1.094,0,1,0.441
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)=O)c(F)c2)c1C#Cc1ccc(N)nc1,7.207608311,8.22184875,,0.691,0,1,0.554
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)=O)c(OC)c2)c1C#Cc1ccc(N)nc1,7.13667714,8.698970004,-4.143,,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)(C)O)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.995678626,8.301029996,-4.036,0.492,0,1,0.349
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)C)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.609064893,9.075720714,-4.832,1.386,0,1,0.532
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)=O)c(Cl)c2)c1C#Cc1ccc(N)nc1,,8.698970004,-4.178,0.605,0,1,0.377
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)=O)c(C)c2)c1C#Cc1ccc(N)nc1,,8.015022874,-4.069,0.718,0,1,0.813
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)(C)C)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.360513511,8.698970004,-4.989,1.41,,1,0.426
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC3)C(C)=O)c(F)c2)c1C#Cc1ccc(N)nc1C,6.835647144,8.397940009,-4.289,0.754,0,1,0.522
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(=O)N(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.910094889,8.698970004,-4.166,0.58,0,1,0.332
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(C)(C)O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.755846627,8.987162775,-4.149,,0,1,0.327
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(C)O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.915423722,8.806875402,-4.064,,0,1,0.383
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.032452024,8.651695137,-3.977,0.449,0,1,0.428
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)(F)F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.876148359,,-4.275,1.439,,1,0.106
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)(F)F)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,7.091514981,8.397940009,-4.205,0.568,0,1,0.165
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)C(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.804100348,8.096910013,-4.049,1.408,0,1,0.41
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.66756154,8.698970004,-3.947,1.4,0,0,0.395
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,6.476643793,,-4.153,1.383,,1,0.416
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,,8.096910013,-4.035,1.411,0,0,0.411
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(NC)nc1,6.511308302,8.327902142,-4.2,1.394,0,1,0.372
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(OC(F)(F)F)c2)c1C#Cc1ccc(N)nc1,6.650334016,7.851705903,-4.165,0.551,0,1,-0.026
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.663540266,8.698970004,-3.878,0.715,0,1,0.455
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(c2)C(F)(F)F)c1C#Cc1ccc(N)nc1,6.759950228,8.053056729,-3.964,,0,1,0.224
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3C)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.826844525,8.398472672,-4.001,1.426,0,1,0.364
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(=O)N(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.93930216,8.15490196,-4.105,0.516,0,1,0.316
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC#C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.813043665,8.603800653,,1.356,0,1,0.393
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3C)c(F)c2)c1C#Cc1ccc(N)nc1,6.687949649,8.364390626,-4.08,1.436,0,1,0.319
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)C(=O)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.93930216,8.698970004,-4.149,,0,1,0.445
CCc1ncnc(-c2ccc(C(=O)N3CCCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.30980392,8.698970004,-4.266,0.899,0,1,0.501
CCc1ncnc(-c2ccc(C(=O)N3CCN(C)C(C)(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.463441557,,-4.147,1.417,0,1,0.412
CCc1ncnc(-c2ccc(C(=O)N3CCCO3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.804377056,8.052566278,-4.064,0.627,0,0,0.65
CCc1ncnc(-c2ccc(C(=O)N3CCCOCC3)c(C)c2)c1C#Cc1ccc(N)nc1,,8.380906669,-4.138,0.926,,1,0.828
CCc1ncnc(-c2ccc(C(=O)N3CCCO3)c(F)c2)c1C#Cc1ccc(N)nc1,7.096910013,8.301029996,-4.087,0.711,1,0,
CCc1ncnc(-c2ccc(C(=O)N3CCCOCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.186018924,8.320118058,-4.26,,0,1,0.402
CCc1ncnc(-c2ccc(C(=O)N3CCCC(O)C3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.982132281,7.925915311,-4.22,0.681,0,1,0.639
CCc1ncnc(-c2ccc(C(=O)N3CCCC3CO)c(F)c2)c1C#Cc1ccc(N)nc1,6.895536914,8.301029996,-4.42,0.668,0,1,0.387
CCc1ncnc(-c2ccc(C(=O)N3CCCCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.962573502,8.698970004,-4.34,1.362,0,,0.145
CCc1ncnc(-c2ccc(C(=O)N3CCCCC3)c(F)c2)c1C#Cc1ccc(N)nc1C,,8.397940009,-4.376,1.395,0,1,0.458
CCc1ncnc(-c2ccc(C(=O)N3CCCCO3)c(F)c2)c1C#Cc1ccc(N)nc1,6.978810701,7.958607315,-4.188,0.772,0,0,0.456
CCc1ncnc(-c2ccc(C(=O)N3CCCN(C)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.160710544,7.844663963,-3.861,1.359,0,1,0.412
CCc1ncnc(-c2ccc(C(=O)N3CCCN(C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.392437757,7.655804284,-3.987,,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,,7.769551079,-4.038,1.361,0,1,0.334
CCc1ncnc(-c2ccc(C(=O)N3CCCO3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.268572413,9.568636236,-4.096,0.607,0,0,0.354
CCc1ncnc(-c2ccc(C(=O)N3CCCO3)c(C)c2)c1C#Cc1ccc(N)nc1,6.836838625,8.616184634,-3.984,,0,0,0.728
CCc1ncnc(-c2ccc(C(=O)N3CCCC(C3)N(C)C)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.560983272,7.907981529,-4.258,1.379,0,1,0.448
CCc1ncnc(-c2ccc(C(=O)N3CCCC(C3)N(C)C)c(C)c2)c1C#Cc1ccc(N)nc1,6.761702932,7.891434976,-4.131,1.389,0,1,0.481
CCc1ncnc(-c2ccc(C(=O)N3CCCC(C3)N(C)C)c(OC)c2)c1C#Cc1ccc(N)nc1,6.687399561,7.053154886,-4.22,0.776,0,,
CCc1ncnc(-c2ccc(C(=O)N3CCCC(O)C3)c(C)c2)c1C#Cc1ccc(N)nc1,7.280088936,8.57024772,-4.153,0.774,0,1,0.717
CCc1ncnc(-c2ccc(C(=O)N3CCCC(O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.186919639,8.512861625,-4.274,,0,1,0.281
CCc1ncnc(-c2ccc(C(=O)N3CCCC(O)C3)c(F)c2)c1C#Cc1ccc(N)nc1,7.193820026,8.22184875,-4.308,0.765,0,1,0.425
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CCN(C)CC4)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.336959025,7.291409155,-4.287,1.103,0,1,0.44
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CCN(C)CC4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,,7.837435593,-4.232,1.454,,1,0.456
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CN(C)C4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.197684749,8.314258261,-4.163,1.378,,1,0.363
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CCN(C)CC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.303119628,7.493359694,-4.332,1.444,0,1,0.423
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CN(C)C4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.480421371,8.152427341,-4.229,1.415,0,1,0.317
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CN(C4)C(=O)OC(C)(C)C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.074822034,8.014573526,-4.801,0.791,0,1,-0.399
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CNC4)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.029155876,7.866141875,-3.962,0.806,0,1,0.581
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CNC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.042296958,8.097453221,-4.008,0.798,0,1,0.602
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CNC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.616005211,7.981299501,-4.103,0.883,0,1,0.557
CCc1ncnc(-c2ccc(C(=O)N3CCC4(COC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.748848657,8.832682665,-4.348,0.945,0,1,0.371
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC3)OCCCO4)c(C)c2)c1C#Cc1ccc(N)nc1,7.168450148,8.293282218,-4.295,0.915,0,1,0.337
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CCN(C)C4)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.2892059,7.396963944,-4.117,1.365,0,1,0.368
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC3)OCCCO4)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.043591429,8.058488567,-4.383,0.802,0,1,0.506
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CCN(C)C4)C3)c(C)c2)c1C#Cc1ccc(N)nc1,6.383524486,8.345823458,-4.006,1.375,0,1,0.401
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CCN(C)C4)C3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.179404503,7.269621531,-4.114,0.987,0,1,0.384
CCc1ncnc(-c2ccc(C(=O)N3CCC(O)(CC3)c3ccccc3)c(F)c2)c1C#Cc1ccc(N)nc1,,8.096910013,-4.094,1.221,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCC(O)(CN(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.327902142,7.552841969,-4.168,0.615,0,1,0.315
CCc1ncnc(-c2ccc(C(=O)N3CCC(O)C3)c(C)c2)c1C#Cc1ccc(N)nc1,7.033493374,7.7961202,-4.027,0.713,0,1,0.713
CCc1ncnc(-c2ccc(C(=O)N3CCC(O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.235524973,8.550633297,-4.151,0.6,0,1,0.329
CCc1ncnc(-c2ccc(C(=O)N3CCC(O)C3)c(F)c2)c1C#Cc1ccc(N)nc1,7.202638027,8.849485002,-4.213,0.704,0,1,0.421
CCc1ncnc(-c2ccc(C(=O)N3CCC(O)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.108741383,8.164309429,-4.049,0.784,0,1,0.71
CCc1ncnc(-c2ccc(C(=O)N3CCC(O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.276626433,8.552841969,-4.172,0.671,0,1,0.276
CCc1ncnc(-c2ccc(C(=O)N3CCC(O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.070581074,9,-4.205,0.757,0,1,0.418
CCc1ncnc(-c2ccc(C(=O)N3CCC4(C3)CCN(CC4)C(=O)OC(C)(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,5.867641036,8.149966742,-4.739,,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCC4(C3)CCNCC4)c(F)c2)c1C#Cc1ccc(N)nc1,,7.59311933,-4.128,1.021,0,1,0.44
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC(N)C4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,5.885559164,8.225483034,-4.241,0.862,0,1,0.439
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC(C4)NC(=O)OC(C)(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.44421655,8.011441043,-4.997,0.911,0,1,-0.348
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC3)CN(CCO4)C(=O)OC(C)(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,6.384839336,8.049635146,-4.797,0.918,0,1,-0.281
CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC3)CNCCO4)c(F)c2)c1C#Cc1ccc(N)nc1,6.40795655,,-4.081,,0,1,0.533
CCc1ncnc(-c2ccc(C(=O)N3CCC(O)(CC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.57024772,8.397940009,-4.644,0.806,,1,0.739
CCc1ncnc(-c2ccc(C(=O)N3CCC(O)(CC3)C(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,,8.15490196,-4.815,0.873,0,1,0.28
CCc1ncnc(-c2ccc(C(=O)N3CCC(O)(CC3)C(F)(F)F)c(F)c2)c1C#Cc1ccc(N)nc1,6.48945499,7.769551079,-4.457,0.672,0,1,0.194
CCc1ncnc(-c2ccc(C(=O)N3CCC(CN(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.323032186,7.610302452,-4.426,1.372,0,1,0.265
CCc1ncnc(-c2ccc(C(=O)N3CCC(CN(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.168130226,6.839231438,,1.383,0,1,0.281
CCc1ncnc(-c2ccc(C(=O)N3CCC(F)(F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.804653942,7.676541633,-4.405,1.426,0,1,0.479
CCc1ncnc(-c2ccc(C(=O)N3CCC(CC3)N3CCOCC3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,6.487715937,9.167491087,-4.385,1.333,0,1,0.558
CCc1ncnc(-c2ccc(C(=O)N3CCC(CC3)N3CCOCC3)c(F)c2)c1C#Cc1ccc(NC)nc1,6.5592483,8.507239611,-4.416,1.372,0,1,0.512
CCc1ncnc(-c2ccc(C(=O)N3CCC(CC3)N3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.630784143,8.698970004,-4.196,0.85,0,,0.536
CCc1ncnc(-c2ccc(C(=O)N3CCC(CC3)N3CCOCC3)c(OC(F)(F)F)c2)c1C#Cc1ccc(N)nc1,6.447940466,7.553929064,,0.602,0,1,0.113
CCc1ncnc(-c2ccc(C(=O)N3CCC(CC3)OC)c(C)c2)c1C#Cc1ccc(N)nc1,6.551139154,7.960982678,-4.287,0.926,0,1,0.864
