SMILES,pKi IC50 Pi3K,pKi IC50 mTor,Water Solubility,Caco2 permeability,CYP1A2 inhibitor,CYP3A4 inhibitor,Total Clearance
CN(C)C(=O)c1cc(Cl)cc(c1)-c1ncnc(C)c1C#Cc1ccc(N)nc1,7.167491087,7.619788758,-3.79,1.426,1,1,0.109
CCc1ncnc(-c2ccnc(OC)c2)c1C#Cc1ccc(N)nc1,,7.468521083,-3.076,1.39,,1,0.895
CN(C)C(=O)c1cc(ccc1F)-c1ncnc(C)c1C#Cc1ccc(N)nc1,6.595166283,8.22184875,-3.723,1.428,1,1,
CCc1ncnc(-c2ccnc(C)c2)c1C#Cc1ccc(N)nc1,7.244125144,7.698970004,-3.057,,1,1,0.842
CCc1ncnc(-c2ccc(nc2)C2CC2)c1C#Cc1ccc(N)nc1,7.537602002,7.494850022,-3.381,1.137,1,1,
CCc1ncnc(-c2ccc(nc2)C(F)(F)F)c1C#Cc1ccc(N)nc1,7.236572006,7.301029996,-3.629,1.253,1,1,0.303
CCc1ncnc(-c2ccc(Cl)c(c2)C(=O)N2CCCCC2)c1C#Cc1ccc(N)nc1,6.22475374,7.552841969,-4.198,1.358,1,,0.148
CCc1ncnc(-c2ccc(F)c(c2)C(=O)N(C)C)c1C#Cc1ccc(N)nc1,6.723538196,,-3.935,1.406,1,1,0.551
CCc1ncnc(-c2ccc(Cl)c(c2)C(=O)NC)c1C#Cc1ccc(N)nc1,7.173925197,7.508638306,-3.799,,1,1,0.15
CCc1ncnc(-c2ccc(F)c(c2)C(=O)N2CCOCC2)c1C#Cc1ccc(N)nc1,6.645891561,7.508638306,-4.032,0.669,0,1,0.436
CCc1ncnc(-c2ccc(OC)nc2)c1C#Cc1ccc(N)nc1,7.397940009,7.292429824,-2.997,1.289,1,1,0.883
CCc1ncnc(-c2ccc(cc2)C(=O)N(C)C)c1C#Cc1ccc(C)nc1,6.863279433,7.537602002,-4.452,1.219,1,1,1.049
CCc1ncnc(-c2ccc(cc2)C(=O)N(C)OC)c1C#Cc1ccc(N)nc1,7.180456064,7.795880017,-4.007,0.419,1,0,0.862
CCc1ncnc(-c2ccc(cc2)C(=O)N2CC(O)CO2)c1C#Cc1ccc(N)nc1,7.408935393,7.920818754,-3.86,0.476,0,1,0.617
CCc1ncnc(-c2ccc(cc2)C(=O)N2CCCCO2)c1C#Cc1ccc(N)nc1,7.113509275,7.886056648,-3.953,0.598,0,,
CCc1ncnc(-c2ccc(cc2)C(=O)N2CCCO2)c1C#Cc1ccc(N)nc1,7.37675071,8,-3.823,0.537,1,1,0.705
CCc1ncnc(-c2ccc(cc2)C(C)(C)C#N)c1C#Cc1ccc(N)nc1,7.585026652,7.619788758,,1.28,1,1,0.834
CCc1ncnc(-c2ccc(cc2)S(C)(=O)=O)c1C#Cc1ccc(C)nc1,7.004364805,7.161150909,-4.377,1.418,1,0,1.126
CCc1ncnc(-c2ccc(cc2)S(C)(=O)=O)c1C#Cc1ccc(N)nc1,7.180456064,7.744727495,-3.769,0.27,1,0,0.934
CCc1ncnc(-c2ccc(nc2)C(=O)N2CCN(C)CC2)c1C#Cc1ccc(N)nc1,6.669586227,7.619788758,-2.807,0.911,0,1,0.395
CCc1ncnc(-c2ccc(C(=O)NCCN3CCOCC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.926648298,7.660548559,-4.155,0.426,0,1,0.741
CCc1ncnc(-c2ccc(C(=O)NCCOC)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.742321425,8.522878745,-4.356,0.376,1,1,0.363
CCc1ncnc(-c2ccc(Cl)c(c2)C(=O)N(C)C)c1C#Cc1ccc(N)nc1,6.71219827,8.397940009,-3.987,1.38,1,1,0.329
CCc1ncnc(-c2ccc(C)nc2)c1C#Cc1ccc(N)nc1,7.522878745,7.657577319,-3.065,,1,1,0.821
CCc1ncnc(-c2ccc(C(=O)NCC3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.518557371,7.552841969,-4.415,0.8,0,1,0.457
CCc1ncnc(-c2ccc(C(=O)NCC3CCNCC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.155026062,8.167491087,-4.286,0.689,0,1,0.548
