SMILES;Name;IC50 (nM)
CN1C2=C(C=CC=C2)C(NC2=CC=CC(=C2)C(F)(F)F)=C1C(=O)NC1(CC1)C1=CC=C(C=C1)C(O)=O;compound_25;47
C[C@H](NC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)C2=C(C=CC=C2)N1C)C1=CC=C(C=C1)C(O)=O;compound_36;4.3
C[C@H](NC(=O)C1=C(NC2=CC=CC(Cl)=C2)C2=C(C=CC=C2)N1C)C1=CC=C(C=C1)C(O)=O;compound_35;45.4
C[C@H](NC(=O)C1=C(NC2=CC=C(C=C2)C(F)(F)F)C2=C(C=CC=C2)N1C)C1=CC=C(C=C1)C(O)=O;compound_38;569
C[C@H](NC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)C2=C(C=CC=C2)N1C)C1=CC=C(C=C1)C(N)=O;compound_42;10000
C[C@@H](NC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)C2=C(C=CC=C2)N1C)C1=CC=C(C=C1)C(O)=O;compound_41;
